"ID","CL","OP","HI","LO","VO","RSV","K","D","EMA","EMA.1","EMA.2","EMA.3","EMA.4","EMA.5","William_11","William_33","William_89","EMA.6","MTM","m_MTM","a_MTM"
"2010-07-18",1,0.0808,0.08584,0.09307,0.07723,4900,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-19",2,0.07474,0.0808,0.08181,0.07426,2000,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-20",3,0.07921,0.07474,0.07921,0.06634,4200,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-21",4,0.0505,0.07921,0.08181,0.0505,12900,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-22",5,0.06262,0.0505,0.06767,0.0505,14100,0,0,0,0.069574,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-25",6,0.056,0.0505,0.056,0.05,4600,0,0,0,0.0650493333333333,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-26",7,0.06,0.056,0.0605,0.053,19600,0,0,0,0.0633662222222222,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-27",8,0.0589,0.06,0.062,0.054,25500,0,50,50,0.0618774814814815,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-28",9,0.0699,0.0589,0.0699,0.0571,52800,46.2038541908521,48.7346180636174,49.5782060212058,0.0645516543209877,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2010-07-29",10,0.0627,0.0699,0.0698,0.0582,19800,39.9245520276643,45.7979293849663,48.318113809126,0.0639344362139918,NA,NA,NA,NA,NA,0,0,0,0.065537,-0.0181,-0.276179867860903,0
"2010-08-01",11,0.06,0.0611,0.0633,0.06,22100,31.4366551398931,41.0108379699419,45.8823551960646,0.0626229574759945,NA,NA,NA,NA,NA,23.2180171813327,0,0,0.0645302727272727,-0.01474,-0.228419924122998,0.0477599437379048
"2010-08-02",12,0.06,0.06,0.065,0.059,60600,31.4366551398931,37.819443693259,43.1947180284627,0.0617486383173297,0.0646141666666667,NA,NA,NA,NA,31.4366551398931,0,0,0.0637065867768595,-0.01921,-0.30153867868146,-0.0731187545584623
"2010-08-03",13,0.057,0.06,0.06231,0.057,21000,35.1758793969849,36.938255594501,41.1092305504755,0.0601657588782198,0.0634427564102564,NA,NA,NA,NA,22.0056585979252,0,0,0.062487207362885,0.0065,0.104021291306111,0.405559969987571
"2010-08-04",14,0.061,0.057,0.061,0.058,30300,55.2763819095477,43.0509643661832,41.7564751557114,0.0604438392521465,0.0630669477317554,NA,NA,NA,NA,34.5803206538824,0,0,0.0622168060241787,-0.00162,-0.0260379807888311,-0.130059272094942
"2010-08-05",15,0.0623,0.061,0.0624,0.0607,8500,55.0295857988166,47.043838177061,43.5189294961612,0.061062559501431,0.0629489557730238,NA,NA,NA,NA,61.8090452261306,0,0,0.0622319322016007,0.0063,0.101234202074766,0.127272182863597
"2010-08-08",16,0.071,0.0609,0.0735,0.0593,88600,87.1794871794872,60.4223878445364,49.1534156122863,0.0643750396676207,0.0641875779617894,NA,NA,NA,NA,89.3617021276596,0,0,0.0638261263467642,0.011,0.172343217889137,0.0711090158143711
"2010-08-09",17,0.07,0.071,0.0709,0.06651,8800,78.7878787878788,66.5442181589839,54.9503497945188,0.0662500264450805,0.0650817967368987,NA,NA,NA,NA,82.9268292682927,0,0,0.0649486488291707,0.0111,0.170904248203769,-0.00143896968536864
"2010-08-10",18,0.067,0.07,0.07541,0.06,101500,54.3183052688756,62.4689138622811,57.4565378171062,0.0665000176300536,0.065376904931222,NA,NA,NA,NA,60.7192900513779,0,0,0.0653216217693215,-0.0029,-0.0443957134169316,-0.2152999616207
"2010-08-11",19,0.07,0.067,0.07,0.06141,13400,70.6137968495383,65.1838748580335,60.0323168307487,0.0676666784200358,0.0660881503264186,NA,NA,NA,NA,70.6137968495383,0,0,0.0661722359930812,0.0073,0.110318170308818,0.154713883725749
"2010-08-12",20,0.0645,0.07,0.068,0.0645,23300,40.7387289516567,57.0354928892412,59.0333755169128,0.0666111189466905,0.0658438195069696,NA,NA,NA,NA,40.7387289516567,0,0,0.0658681930852483,0.0045,0.0683182548240847,-0.0419999154847329
"2010-08-15",21,0.0655,0.06529,0.0679,0.062,69600,46.1705594785443,53.4138484190089,57.1601998176115,0.0662407459644603,0.0657909241982051,NA,NA,NA,NA,46.1705594785443,0,0,0.0658012488879304,0.0055,0.0835850396907716,0.0152667848666869
